Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
1.8.2026;1;00:00 - 01:00;116,6;390,9;23,2;210,0;-186,8;177,10;177,92;163,59;182,99;179,68;233,2;177,92;233,2
1.8.2026;2;01:00 - 02:00;63,7;194,8;13,5;136,8;-123,3;167,65;167,28;160,00;169,60;168,97;150,3;167,28;150,3
1.8.2026;3;02:00 - 03:00;36,4;163,9;10,5;109,9;-99,4;161,00;160,64;156,41;164,64;164,50;120,4;160,64;120,4
1.8.2026;4;03:00 - 04:00;88,0;228,4;20,5;120,7;-100,2;159,53;160,01;146,09;165,01;147,95;141,2;160,01;141,2
1.8.2026;5;04:00 - 05:00;71,1;2185,4;26,1;24,2;1,9;157,98;157,87;150,71;164,23;153,25;50,3;157,87;50,3
1.8.2026;6;05:00 - 06:00;71,6;77,4;25,3;23,9;1,4;156,31;158,34;136,00;160,97;145,00;49,2;158,34;49,2
1.8.2026;7;06:00 - 07:00;136,7;385,3;6,8;20,0;-13,2;154,75;155,07;146,86;156,30;154,20;26,8;155,07;26,8
1.8.2026;8;07:00 - 08:00;20,6;54,9;2,0;17,1;-15,1;151,85;151,83;147,84;156,79;156,79;19,1;151,83;19,1
1.8.2026;9;08:00 - 09:00;10336,8;10548,7;0,9;33,8;-32,9;160,17;154,70;147,00;192,49;159,96;34,7;154,70;34,7
1.8.2026;10;09:00 - 10:00;9505,6;3447,0;63,0;50,6;12,4;155,91;155,66;136,87;160,00;154,78;113,6;155,66;113,6
1.8.2026;11;10:00 - 11:00;1841,1;5710,8;149,6;50,9;98,7;128,38;128,91;110,89;137,64;129,21;200,5;128,91;200,5
1.8.2026;12;11:00 - 12:00;3137,7;473,8;88,4;102,1;-13,7;91,67;89,24;70,02;108,24;70,05;190,5;89,24;190,5
1.8.2026;13;12:00 - 13:00;13831,8;9358,5;195,5;205,4;-9,9;46,05;46,92;30,00;63,07;41,32;400,9;46,92;400,9
1.8.2026;14;13:00 - 14:00;11204,6;1656,3;135,2;110,7;24,5;32,08;35,59;7,24;113,25;33,56;245,9;35,59;245,9
1.8.2026;15;14:00 - 15:00;1683,0;1354,3;140,4;165,6;-25,2;32,74;39,97;10,00;89,85;11,13;306,0;39,97;306,0
1.8.2026;16;15:00 - 16:00;2257,8;4023,5;157,4;193,3;-35,9;36,07;48,81;2,42;100,58;2,42;350,7;48,81;350,7
1.8.2026;17;16:00 - 17:00;37555,5;9260,6;67,8;87,6;-19,8;72,67;106,54;40,00;174,99;79,00;155,4;106,54;155,4
1.8.2026;18;17:00 - 18:00;48707,2;35659,4;108,2;172,3;-64,1;153,13;189,30;119,99;300,00;140,00;280,5;189,30;280,5
1.8.2026;19;18:00 - 19:00;53497,9;34173,2;134,9;414,0;-279,1;238,90;273,12;141,11;500,01;169,50;548,9;273,12;548,9
1.8.2026;20;19:00 - 20:00;90362,1;25094,3;82,9;66,4;16,5;148,78;145,94;100,01;180,00;159,99;149,3;145,94;149,3
1.8.2026;21;20:00 - 21:00;44559,4;14155,5;114,5;90,5;24,0;148,18;146,78;110,01;200,00;179,89;205,0;146,78;205,0
1.8.2026;22;21:00 - 22:00;136446,5;16738,2;105,0;111,5;-6,5;162,82;165,02;144,67;200,00;174,00;216,5;165,02;216,5
1.8.2026;23;22:00 - 23:00;47176,4;39258,8;143,5;156,5;-13,0;158,95;158,88;135,00;178,20;150,61;300,0;158,88;300,0
1.8.2026;24;23:00 - 00:00;1423,1;6568,0;68,1;193,0;-124,9;182,49;185,52;150,00;500,00;183,00;261,1;185,52;261,1
2.8.2026;1;00:00 - 01:00;58,7;183,9;13,1;107,5;-94,4;171,17;171,05;170,00;180,10;170,00;120,6;171,05;120,6
2.8.2026;2;01:00 - 02:00;2145,2;831,2;46,7;35,1;11,6;160,16;160,68;154,09;164,50;154,09;81,8;160,68;81,8
2.8.2026;3;02:00 - 03:00;75,6;74,1;18,0;14,6;3,4;153,94;154,17;149,19;160,00;160,00;32,6;154,17;32,6
2.8.2026;4;03:00 - 04:00;73,9;81,9;16,0;15,1;0,9;148,80;150,50;146,19;155,55;150,00;31,1;150,50;31,1
2.8.2026;5;04:00 - 05:00;59,9;89,7;12,0;13,3;-1,3;149,80;150,38;146,70;160,00;152,00;25,3;150,38;25,3
2.8.2026;6;05:00 - 06:00;199,6;74,5;19,0;10,7;8,3;158,45;158,19;150,97;179,01;179,01;29,7;158,19;29,7
2.8.2026;7;06:00 - 07:00;62,2;61,7;12,0;10,5;1,5;151,49;148,94;146,50;166,90;166,90;22,5;148,94;22,5
2.8.2026;8;07:00 - 08:00;61,9;64,1;12,0;30,5;-18,5;136,63;136,15;134,88;149,98;149,98;42,5;136,15;42,5
2.8.2026;9;08:00 - 09:00;136,6;264,9;16,9;210,1;-193,2;115,29;114,90;113,00;119,63;116,00;227,0;114,90;227,0
2.8.2026;10;09:00 - 10:00;7129,4;5844,1;583,3;13,0;570,3;49,33;49,48;40,75;63,00;43,21;596,3;49,48;596,3
2.8.2026;11;10:00 - 11:00;460,6;1501,9;210,8;62,9;147,9;3,32;3,68;-8,60;8,97;-7,77;273,7;3,68;273,7
2.8.2026;12;11:00 - 12:00;5795,8;10734,6;156,2;116,8;39,4;-2,33;-0,50;-14,00;7,22;-11,95;273,0;-0,50;273,0
2.8.2026;13;12:00 - 13:00;509,4;344,1;126,9;80,7;46,2;-5,46;-2,48;-16,41;7,55;-16,41;207,6;-2,48;207,6
2.8.2026;14;13:00 - 14:00;581,9;1289,8;98,5;110,2;-11,7;-12,53;-10,15;-26,00;6,90;-25,00;208,7;-10,15;208,7
2.8.2026;15;14:00 - 15:00;718,9;1275,5;76,8;114,1;-37,3;-10,96;-10,01;-20,76;7,49;-14,41;190,9;-10,01;190,9
2.8.2026;16;15:00 - 16:00;2476,6;39494,7;143,9;111,6;32,3;0,25;-0,03;-7,48;10,00;-7,48;255,5;-0,03;255,5
2.8.2026;17;16:00 - 17:00;70336,8;50547,0;491,4;145,9;345,5;29,92;31,71;11,51;62,20;50,00;637,3;31,71;637,3
2.8.2026;18;17:00 - 18:00;87127,7;8299,5;31,0;31,0;0,0;134,72;139,36;80,34;149,99;80,34;62,0;139,36;62,0
2.8.2026;19;18:00 - 19:00;4207,5;1796,6;74,5;74,5;0,0;187,21;195,51;145,06;249,99;155,00;149,0;195,51;149,0
2.8.2026;20;19:00 - 20:00;169,8;115578,8;27,0;2,0;25,0;159,72;184,12;130,00;195,00;130,00;29,0;184,12;29,0
2.8.2026;21;20:00 - 21:00;32695,7;86458,7;81,1;39,0;42,1;166,11;193,61;144,55;215,00;165,00;120,1;193,61;120,1
2.8.2026;22;21:00 - 22:00;40218,1;87174,0;75,0;61,0;14,0;152,99;179,40;135,01;190,99;145,00;136,0;179,40;136,0
2.8.2026;23;22:00 - 23:00;17629,8;51772,4;68,0;68,0;0,0;174,55;176,78;150,00;189,70;160,00;136,0;176,78;136,0
2.8.2026;24;23:00 - 00:00;46459,6;52777,1;125,4;164,7;-39,3;169,07;176,09;150,00;231,00;164,04;290,1;176,09;290,1
3.8.2026;1;00:00 - 01:00;34802,4;73,4;17,2;3,5;13,7;218,89;213,27;200,01;225,00;200,01;20,7;213,27;20,7
3.8.2026;2;01:00 - 02:00;2959,1;92,8;1,2;1,2;0,0;201,25;203,75;197,50;205,00;205,00;2,4;203,75;2,4
3.8.2026;3;02:00 - 03:00;5868,6;91,2;1,0;1,0;0,0;201,00;201,00;201,00;201,00;201,00;2,0;201,00;2,0
3.8.2026;4;03:00 - 04:00;1253,0;92,4;1,0;1,0;0,0;176,01;176,01;176,01;176,01;176,01;2,0;176,01;2,0
3.8.2026;5;04:00 - 05:00;8315,7;115,7;13,5;13,5;0,0;191,77;191,59;186,50;210,00;190,00;27,0;191,59;27,0
3.8.2026;6;05:00 - 06:00;29496,2;154,4;21,0;21,0;0,0;178,37;184,91;161,20;186,01;165,00;42,0;184,91;42,0
3.8.2026;7;06:00 - 07:00;23356,1;173,4;17,2;24,1;-6,9;169,88;175,63;159,49;180,00;165,00;41,3;175,63;41,3
3.8.2026;8;07:00 - 08:00;131,1;471,2;13,4;58,8;-45,4;153,67;152,56;150,00;158,40;150,57;72,2;152,56;72,2
3.8.2026;9;08:00 - 09:00;8307,9;22196,6;23,4;349,7;-326,3;145,44;145,55;142,80;150,69;144,19;373,1;145,55;373,1
3.8.2026;10;09:00 - 10:00;6150,4;4776,3;36,8;73,4;-36,6;104,59;104,28;95,01;125,00;100,00;110,2;104,28;110,2
