Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
8.8.2026;1;00:00 - 00:15;159,2;887,3;31,4;84,8;-53,4;152,28;139,74;65,81;172,35;65,81;116,2;139,74;116,2
8.8.2026;2;00:15 - 00:30;129,5;1392,8;31,3;99,3;-68,0;152,12;138,90;120,75;173,35;137,00;130,6;138,90;130,6
8.8.2026;3;00:30 - 00:45;136,4;351,5;16,5;100,7;-84,2;145,91;144,71;120,00;156,52;140,00;117,2;144,71;117,2
8.8.2026;4;00:45 - 01:00;105,2;261,6;21,9;104,8;-82,9;142,52;141,72;132,27;162,07;134,10;126,7;141,72;126,7
8.8.2026;5;01:00 - 01:15;80,1;49,9;11,0;1,2;9,8;144,96;140,95;138,90;157,70;141,89;12,2;140,95;12,2
8.8.2026;6;01:15 - 01:30;90,5;47,1;14,0;0,0;14,0;130,03;131,69;128,97;133,20;128,97;14,0;131,69;14,0
8.8.2026;7;01:30 - 01:45;99,8;51,9;27,0;6,0;21,0;187,90;192,85;134,17;294,50;294,50;33,0;192,85;33,0
8.8.2026;8;01:45 - 02:00;117,8;55,4;36,3;8,6;27,7;146,65;179,28;123,02;290,80;290,80;44,9;179,28;44,9
8.8.2026;9;02:00 - 02:15;697,0;71,8;20,2;8,4;11,8;154,47;184,91;136,35;296,00;296,00;28,6;184,91;28,6
8.8.2026;10;02:15 - 02:30;208,2;53,8;18,8;7,0;11,8;162,02;197,14;129,78;292,90;292,90;25,8;197,14;25,8
8.8.2026;11;02:30 - 02:45;88,7;49,8;11,8;1,8;10,0;135,23;135,04;132,90;138,55;132,90;13,6;135,04;13,6
8.8.2026;12;02:45 - 03:00;210,2;60,3;14,7;2,0;12,7;132,63;132,62;125,53;134,94;131,40;16,7;132,62;16,7
8.8.2026;13;03:00 - 03:15;142,6;99,9;25,6;23,8;1,8;100,50;65,25;48,15;147,26;48,15;49,4;65,25;49,4
8.8.2026;14;03:15 - 03:30;159,2;66,4;30,1;24,5;5,6;101,70;71,20;47,83;142,04;47,83;54,6;71,20;54,6
8.8.2026;15;03:30 - 03:45;142,4;59,1;3,7;21,0;-17,3;135,39;134,86;133,81;141,62;134,41;24,7;134,86;24,7
8.8.2026;16;03:45 - 04:00;140,1;62,1;6,1;23,3;-17,2;132,73;132,49;130,18;136,01;132,55;29,4;132,49;29,4
8.8.2026;17;04:00 - 04:15;327,9;59,7;10,6;11,8;-1,2;130,38;130,46;125,03;139,23;125,32;22,4;130,46;22,4
8.8.2026;18;04:15 - 04:30;122,3;52,5;12,4;9,6;2,8;130,28;128,36;124,45;133,10;124,45;22,0;128,36;22,0
8.8.2026;19;04:30 - 04:45;867,5;53,9;15,7;12,1;3,6;129,01;129,19;124,42;132,68;127,08;27,8;129,19;27,8
8.8.2026;20;04:45 - 05:00;187,6;47,3;7,6;8,0;-0,4;131,59;130,93;126,63;133,57;127,94;15,6;130,93;15,6
8.8.2026;21;05:00 - 05:15;142,1;94,1;4,0;2,2;1,8;129,12;128,48;125,58;134,39;132,00;6,2;128,48;6,2
8.8.2026;22;05:15 - 05:30;90,9;333,5;2,8;12,2;-9,4;134,42;134,78;127,43;137,00;135,69;15,0;134,78;15,0
8.8.2026;23;05:30 - 05:45;70,4;970,6;0,0;13,2;-13,2;138,30;137,05;136,32;142,00;136,32;13,2;137,05;13,2
8.8.2026;24;05:45 - 06:00;135,6;108,2;1,9;11,5;-9,6;138,97;137,92;137,51;146,80;139,11;13,4;137,92;13,4
8.8.2026;25;06:00 - 06:15;304,2;65,3;16,4;4,0;12,4;137,22;136,46;133,21;142,20;134,60;20,4;136,46;20,4
8.8.2026;26;06:15 - 06:30;226,7;61,1;22,8;0,0;22,8;135,45;135,47;133,75;137,45;133,75;22,8;135,47;22,8
8.8.2026;27;06:30 - 06:45;115,6;117,0;12,8;16,9;-4,1;167,53;187,80;130,78;267,00;267,00;29,7;187,80;29,7
8.8.2026;28;06:45 - 07:00;173,3;108,9;25,6;17,0;8,6;146,11;181,33;125,28;287,00;287,00;42,6;181,33;42,6
8.8.2026;29;07:00 - 07:15;236,0;771,4;48,9;17,5;31,4;140,90;140,26;135,62;146,40;138,18;66,4;140,26;66,4
8.8.2026;30;07:15 - 07:30;229,8;104,5;41,8;25,0;16,8;136,45;136,52;135,66;140,27;140,27;66,8;136,52;66,8
8.8.2026;31;07:30 - 07:45;145,3;116,8;24,8;5,0;19,8;129,07;127,64;126,00;136,01;135,66;29,8;127,64;29,8
8.8.2026;32;07:45 - 08:00;403,3;193,6;54,0;36,2;17,8;133,93;183,85;112,16;217,00;217,00;90,2;183,85;90,2
8.8.2026;33;08:00 - 08:15;349,9;540,7;66,0;32,5;33,5;135,26;135,11;133,55;139,02;135,66;98,5;135,11;98,5
8.8.2026;34;08:15 - 08:30;241,8;543,3;62,0;30,1;31,9;114,02;114,06;112,26;117,38;116,41;92,1;114,06;92,1
8.8.2026;35;08:30 - 08:45;235,0;225,6;46,0;25,9;20,1;96,28;95,64;89,42;105,99;89,42;71,9;95,64;71,9
8.8.2026;36;08:45 - 09:00;194,4;255,4;26,0;23,3;2,7;88,75;88,16;81,61;107,40;107,40;49,3;88,16;49,3
8.8.2026;37;09:00 - 09:15;287,0;588,4;30,5;10,9;19,6;93,01;94,37;78,88;103,70;78,89;41,4;94,37;41,4
8.8.2026;38;09:15 - 09:30;2492,6;723,8;48,3;11,3;37,0;67,15;68,06;61,21;80,00;64,61;59,6;68,06;59,6
8.8.2026;39;09:30 - 09:45;404,6;781,8;53,1;34,0;19,1;28,93;29,79;18,91;47,66;28,88;87,1;29,79;87,1
8.8.2026;40;09:45 - 10:00;295,7;661,0;56,4;42,8;13,6;14,10;24,44;4,45;47,00;47,00;99,2;24,44;99,2
8.8.2026;41;10:00 - 10:15;512,7;384,6;32,0;13,8;18,2;20,42;20,95;7,87;37,19;19,58;45,8;20,95;45,8
8.8.2026;42;10:15 - 10:30;425,3;420,1;35,2;17,6;17,6;17,13;14,67;3,22;32,39;3,22;52,8;14,67;52,8
8.8.2026;43;10:30 - 10:45;361,5;375,3;47,3;35,7;11,6;18,16;15,46;3,04;32,00;5,41;83,0;15,46;83,0
8.8.2026;44;10:45 - 11:00;484,8;385,1;37,1;26,7;10,4;13,58;13,94;2,24;32,00;4,99;63,8;13,94;63,8
8.8.2026;45;11:00 - 11:15;548,6;445,8;30,2;13,9;16,3;19,86;21,13;6,00;62,47;6,00;44,1;21,13;44,1
8.8.2026;46;11:15 - 11:30;554,7;320,3;57,5;15,7;41,8;14,36;12,61;-0,37;30,74;-0,37;73,2;12,61;73,2
8.8.2026;47;11:30 - 11:45;1088,4;302,2;49,9;18,9;31,0;15,92;14,81;-1,10;32,15;2,99;68,8;14,81;68,8
8.8.2026;48;11:45 - 12:00;1825,7;499,6;49,9;22,0;27,9;13,48;12,82;-1,74;36,65;7,25;71,9;12,82;71,9
8.8.2026;49;12:00 - 12:15;693,9;397,3;54,0;52,3;1,7;16,22;16,35;-2,78;33,79;-2,78;106,3;16,35;106,3
8.8.2026;50;12:15 - 12:30;488,8;375,2;37,5;45,4;-7,9;8,79;12,22;-2,46;33,16;-2,46;82,9;12,22;82,9
8.8.2026;51;12:30 - 12:45;523,2;507,9;41,1;43,3;-2,2;7,57;10,33;-2,31;33,09;-2,07;84,4;10,33;84,4
8.8.2026;52;12:45 - 13:00;755,2;535,1;48,0;50,2;-2,2;10,47;13,79;-4,09;33,50;-4,09;98,2;13,79;98,2
8.8.2026;53;13:00 - 13:15;554,6;509,4;36,3;19,3;17,0;9,55;10,26;-6,17;32,10;-6,17;55,6;10,26;55,6
8.8.2026;54;13:15 - 13:30;518,0;436,6;39,4;23,9;15,5;5,42;9,74;-6,33;32,31;-5,45;63,3;9,74;63,3
8.8.2026;55;13:30 - 13:45;335,0;749,2;28,7;27,9;0,8;4,01;5,17;-4,83;59,07;-2,95;56,6;5,17;56,6
8.8.2026;56;13:45 - 14:00;501,3;560,7;34,6;26,8;7,8;6,39;4,06;-4,52;30,44;-1,90;61,4;4,06;61,4
8.8.2026;57;14:00 - 14:15;1065,6;607,4;55,9;50,0;5,9;2,38;3,87;-9,65;36,60;-1,87;105,9;3,87;105,9
8.8.2026;58;14:15 - 14:30;955,8;613,7;51,2;34,9;16,3;5,52;3,05;-6,80;35,10;-1,56;86,1;3,05;86,1
8.8.2026;59;14:30 - 14:45;723,4;566,1;24,9;11,0;13,9;6,60;8,00;-6,71;36,70;-1,94;35,9;8,00;35,9
8.8.2026;60;14:45 - 15:00;1343,9;842,8;82,2;49,4;32,8;6,34;8,69;-3,02;37,79;-1,69;131,6;8,69;131,6
8.8.2026;61;15:00 - 15:15;1069,3;530,2;56,9;28,5;28,4;5,98;8,44;-2,95;33,28;-2,78;85,4;8,44;85,4
8.8.2026;62;15:15 - 15:30;557,5;707,0;212,0;48,5;163,5;8,20;10,15;-4,70;35,53;-0,54;260,5;10,15;260,5
8.8.2026;63;15:30 - 15:45;612,0;718,3;37,8;36,1;1,7;16,89;19,23;-1,58;32,88;14,80;73,9;19,23;73,9
8.8.2026;64;15:45 - 16:00;923,6;1263,0;79,7;41,9;37,8;37,18;32,52;8,83;63,93;8,83;121,6;32,52;121,6
8.8.2026;65;16:00 - 16:15;329,9;612,9;35,0;30,1;4,9;14,35;17,54;-2,53;43,66;-1,00;65,1;17,54;65,1
8.8.2026;66;16:15 - 16:30;3567,8;892,4;237,3;45,3;192,0;15,81;16,14;-0,46;61,86;1,00;282,6;16,14;282,6
8.8.2026;67;16:30 - 16:45;4104,8;673,1;70,5;56,9;13,6;68,59;73,32;14,42;111,46;15,84;127,4;73,32;127,4
8.8.2026;68;16:45 - 17:00;3889,9;864,8;181,2;168,1;13,1;94,54;93,56;35,00;155,79;58,30;349,3;93,56;349,3
8.8.2026;69;17:00 - 17:15;753,5;5181,2;155,4;111,5;43,9;65,25;73,03;12,21;115,07;18,82;266,9;73,03;266,9
8.8.2026;70;17:15 - 17:30;717,3;1093,3;177,2;94,1;83,1;83,07;100,71;56,78;145,65;66,94;271,3;100,71;271,3
8.8.2026;71;17:30 - 17:45;726,1;4008,9;159,5;68,6;90,9;124,10;131,53;67,79;164,53;107,00;228,1;131,53;228,1
8.8.2026;72;17:45 - 18:00;997,2;9045,0;178,7;86,9;91,8;148,89;152,43;113,50;177,02;135,18;265,6;152,43;265,6
8.8.2026;73;18:00 - 18:15;287,3;726,5;57,6;40,7;16,9;109,59;109,91;95,64;158,29;101,22;98,3;109,91;98,3
8.8.2026;74;18:15 - 18:30;573,2;543,7;48,2;82,6;-34,4;136,57;136,51;123,38;162,63;138,30;130,8;136,51;130,8
8.8.2026;75;18:30 - 18:45;931,1;560,8;82,1;90,6;-8,5;153,39;151,97;106,30;175,46;106,30;172,7;151,97;172,7
8.8.2026;76;18:45 - 19:00;1513,8;717,6;87,6;111,0;-23,4;160,10;160,44;151,89;178,63;166,04;198,6;160,44;198,6
8.8.2026;77;19:00 - 19:15;601,6;494,2;14,2;66,8;-52,6;155,50;151,85;144,24;170,49;170,49;81,0;151,85;81,0
8.8.2026;78;19:15 - 19:30;777,6;434,2;56,5;82,2;-25,7;161,85;162,51;152,70;172,20;172,20;138,7;162,51;138,7
8.8.2026;79;19:30 - 19:45;1537,5;591,4;65,9;122,6;-56,7;168,22;168,38;162,16;184,97;176,71;188,5;168,38;188,5
8.8.2026;80;19:45 - 20:00;237,4;631,1;26,6;112,2;-85,6;184,96;187,34;179,29;197,50;192,76;138,8;187,34;138,8
8.8.2026;81;20:00 - 20:15;508,2;408,2;34,9;62,7;-27,8;176,09;176,90;167,89;183,38;172,91;97,6;176,90;97,6
8.8.2026;82;20:15 - 20:30;363,9;354,9;23,5;20,4;3,1;183,05;184,07;175,77;194,91;181,94;43,9;184,07;43,9
8.8.2026;83;20:30 - 20:45;690,6;266,2;35,4;40,7;-5,3;184,75;184,76;174,68;196,08;182,54;76,1;184,76;76,1
8.8.2026;84;20:45 - 21:00;875,1;274,1;9,8;58,7;-48,9;190,29;189,95;178,46;203,33;203,31;68,5;189,95;68,5
8.8.2026;85;21:00 - 21:15;5186,7;272,5;47,4;41,1;6,3;190,33;191,75;177,60;211,51;177,60;88,5;191,75;88,5
8.8.2026;86;21:15 - 21:30;591,8;286,6;31,7;45,3;-13,6;186,95;187,50;176,51;200,70;178,80;77,0;187,50;77,0
8.8.2026;87;21:30 - 21:45;284,8;1035,1;10,2;52,5;-42,3;188,79;190,66;170,55;197,30;191,00;62,7;190,66;62,7
8.8.2026;88;21:45 - 22:00;760,7;885,3;38,7;82,3;-43,6;173,52;175,43;157,40;182,10;170,83;121,0;175,43;121,0
8.8.2026;89;22:00 - 22:15;722,7;591,2;43,4;137,4;-94,0;187,84;186,08;171,11;205,77;180,42;180,8;186,08;180,8
8.8.2026;90;22:15 - 22:30;351,2;471,2;19,0;133,9;-114,9;175,95;173,64;167,44;193,83;168,40;152,9;173,64;152,9
8.8.2026;91;22:30 - 22:45;385,5;731,1;21,0;204,0;-183,0;173,03;172,40;163,77;187,40;181,92;225,0;172,40;225,0
8.8.2026;92;22:45 - 23:00;362,9;605,4;64,4;198,2;-133,8;141,51;138,91;44,98;164,00;44,98;262,6;138,91;262,6
8.8.2026;93;23:00 - 23:15;4344,6;600,0;18,9;131,2;-112,3;159,71;159,96;121,87;171,50;140,00;150,1;159,96;150,1
8.8.2026;94;23:15 - 23:30;240,0;389,1;33,2;121,5;-88,3;155,99;153,45;127,10;167,01;141,32;154,7;153,45;154,7
8.8.2026;95;23:30 - 23:45;619,9;167,3;26,8;10,3;16,5;143,54;141,72;132,90;158,12;133,44;37,1;141,72;37,1
8.8.2026;96;23:45 - 00:00;472,0;168,6;22,9;10,4;12,5;138,71;136,38;123,16;151,71;123,18;33,3;136,38;33,3
9.8.2026;1;00:00 - 00:15;1370,3;106,7;24,5;2,3;22,2;131,46;134,82;0,00;157,55;144,80;26,8;134,82;26,8
9.8.2026;2;00:15 - 00:30;1063,2;126,3;28,6;1,0;27,6;136,22;135,92;108,47;150,29;138,99;29,6;135,92;29,6
9.8.2026;3;00:30 - 00:45;170,5;126,2;21,1;3,0;18,1;132,50;131,84;106,60;146,77;132,88;24,1;131,84;24,1
9.8.2026;4;00:45 - 01:00;142,4;49,9;16,6;5,0;11,6;124,13;122,67;106,60;140,85;123,09;21,6;122,67;21,6
9.8.2026;5;01:00 - 01:15;185,4;57,4;12,0;6,1;5,9;85,61;122,26;0,00;139,91;138,08;18,1;122,26;18,1
9.8.2026;6;01:15 - 01:30;84,3;37,2;14,1;1,9;12,2;89,94;130,34;0,00;139,50;136,68;16,0;130,34;16,0
9.8.2026;7;01:30 - 01:45;141,4;32,6;7,5;1,9;5,6;69,01;116,94;0,00;139,46;136,10;9,4;116,94;9,4
9.8.2026;8;01:45 - 02:00;95,2;49,4;8,0;3,3;4,7;67,51;115,26;0,00;137,63;136,51;11,3;115,26;11,3
9.8.2026;9;02:00 - 02:15;238,2;67,3;25,8;6,9;18,9;118,17;125,90;0,00;138,56;132,01;32,7;125,90;32,7
9.8.2026;10;02:15 - 02:30;689,8;35,8;15,0;6,8;8,2;118,65;122,18;0,00;137,30;134,46;21,8;122,18;21,8
9.8.2026;11;02:30 - 02:45;478,3;34,2;18,0;4,8;13,2;108,24;120,75;0,00;133,15;132,25;22,8;120,75;22,8
9.8.2026;12;02:45 - 03:00;369,3;39,7;12,0;9,7;2,3;108,44;119,86;0,00;135,37;134,27;21,7;119,86;21,7
9.8.2026;13;03:00 - 03:15;172,7;31,5;9,2;2,0;7,2;75,72;112,96;0,00;138,10;138,10;11,2;112,96;11,2
