Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
8.8.2026;1;00:00 - 01:00;141,7;221,2;33,1;31,3;1,8;150,58;153,34;77,23;176,00;77,23;64,4;153,34;64,4
8.8.2026;2;01:00 - 02:00;100,7;168,8;40,3;115,0;-74,7;142,36;142,34;131,61;150,00;131,61;155,3;142,34;155,3
8.8.2026;3;02:00 - 03:00;1293,7;131,5;62,3;0,0;62,3;137,34;137,29;133,11;145,22;137,36;62,3;137,29;62,3
8.8.2026;4;03:00 - 04:00;298,8;59,8;52,3;0,0;52,3;136,71;137,23;132,22;145,86;136,22;52,3;137,23;52,3
8.8.2026;5;04:00 - 05:00;329,2;62,7;57,8;0,0;57,8;135,95;135,58;130,30;144,48;132,04;57,8;135,58;57,8
8.8.2026;6;05:00 - 06:00;95,4;251,0;26,5;10,0;16,5;136,26;136,09;134,49;141,67;134,49;36,5;136,09;36,5
8.8.2026;7;06:00 - 07:00;78,0;95,7;18,5;0,0;18,5;136,92;137,40;133,19;137,99;137,99;18,5;137,40;18,5
8.8.2026;8;07:00 - 08:00;121,1;138,5;18,5;0,0;18,5;132,30;132,87;130,32;133,58;130,33;18,5;132,87;18,5
8.8.2026;9;08:00 - 09:00;162,4;167,6;15,5;30,0;-14,5;111,67;111,17;108,96;114,89;112,40;45,5;111,17;45,5
8.8.2026;10;09:00 - 10:00;2503,1;298,3;473,5;35,1;438,4;58,72;59,12;50,78;64,35;50,78;508,6;59,12;508,6
8.8.2026;11;10:00 - 11:00;479,8;228,7;163,0;20,3;142,7;19,41;19,06;5,80;34,79;15,00;183,3;19,06;183,3
8.8.2026;12;11:00 - 12:00;804,0;322,8;199,6;24,2;175,4;17,84;18,30;6,55;57,03;57,03;223,8;18,30;223,8
8.8.2026;13;12:00 - 13:00;1033,8;357,4;207,1;33,5;173,6;13,11;16,50;-1,57;40,00;-1,57;240,6;16,50;240,6
8.8.2026;14;13:00 - 14:00;430,3;395,7;54,0;33,3;20,7;7,38;17,52;-8,51;115,91;-8,51;87,3;17,52;87,3
8.8.2026;15;14:00 - 15:00;4357,0;468,9;120,6;34,4;86,2;7,46;21,55;-7,81;119,72;1,00;155,0;21,55;155,0
8.8.2026;16;15:00 - 16:00;13318,0;4836,7;104,9;37,4;67,5;14,18;18,56;2,00;50,00;9,85;142,3;18,56;142,3
8.8.2026;17;16:00 - 17:00;8740,8;333,4;111,3;74,0;37,3;54,66;61,71;10,04;90,05;19,77;185,3;61,71;185,3
8.8.2026;18;17:00 - 18:00;69239,4;34902,5;109,7;86,9;22,8;108,30;117,76;87,40;151,00;87,63;196,6;117,76;196,6
8.8.2026;19;18:00 - 19:00;378,7;2350,7;63,6;128,6;-65,0;137,88;136,24;128,62;165,63;134,47;192,2;136,24;192,2
8.8.2026;20;19:00 - 20:00;3157,1;1710,7;78,9;115,8;-36,9;170,15;169,35;160,16;181,54;174,60;194,7;169,35;194,7
8.8.2026;21;20:00 - 21:00;1255,2;7999,6;101,6;164,4;-62,8;180,82;180,55;175,05;191,42;183,80;266,0;180,55;266,0
8.8.2026;22;21:00 - 22:00;547,6;598,8;85,7;161,4;-75,7;179,14;178,06;169,09;192,05;188,11;247,1;178,06;247,1
8.8.2026;23;22:00 - 23:00;28881,8;931,4;139,7;122,1;17,6;170,72;170,01;158,00;180,00;158,00;261,8;170,01;261,8
8.8.2026;24;23:00 - 00:00;487,1;7692,9;79,2;165,5;-86,3;154,75;154,60;140,00;159,30;140,00;244,7;154,60;244,7
9.8.2026;1;00:00 - 01:00;92,7;144,7;3,3;44,5;-41,2;143,75;145,19;137,09;150,00;141,01;47,8;145,19;47,8
9.8.2026;2;01:00 - 02:00;81,9;99,6;3,7;14,4;-10,7;126,65;134,35;41,09;139,00;137,00;18,1;134,35;18,1
9.8.2026;3;02:00 - 03:00;78,7;100,4;4,2;10,9;-6,7;122,43;123,13;32,80;136,42;135,11;15,1;123,13;15,1
9.8.2026;4;03:00 - 04:00;75,8;156,4;4,3;9,2;-4,9;112,73;118,85;38,46;134,01;133,40;13,5;118,85;13,5
