Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
9.8.2026;1;00:00 - 00:15;1370,3;106,7;24,5;2,3;22,2;131,46;134,82;0,00;157,55;144,80;26,8;134,82;26,8
9.8.2026;2;00:15 - 00:30;1063,2;126,3;28,6;1,0;27,6;136,22;135,92;108,47;150,29;138,99;29,6;135,92;29,6
9.8.2026;3;00:30 - 00:45;170,5;126,2;21,1;3,0;18,1;132,50;131,84;106,60;146,77;132,88;24,1;131,84;24,1
9.8.2026;4;00:45 - 01:00;142,4;49,9;16,6;5,0;11,6;124,13;122,67;106,60;140,85;123,09;21,6;122,67;21,6
9.8.2026;5;01:00 - 01:15;185,4;57,4;12,0;6,1;5,9;85,61;122,26;0,00;139,91;138,08;18,1;122,26;18,1
9.8.2026;6;01:15 - 01:30;84,3;37,2;14,1;1,9;12,2;89,94;130,34;0,00;139,50;136,68;16,0;130,34;16,0
9.8.2026;7;01:30 - 01:45;141,4;32,6;7,5;1,9;5,6;69,01;116,94;0,00;139,46;136,10;9,4;116,94;9,4
9.8.2026;8;01:45 - 02:00;95,2;49,4;8,0;3,3;4,7;67,51;115,26;0,00;137,63;136,51;11,3;115,26;11,3
9.8.2026;9;02:00 - 02:15;238,2;67,3;25,8;6,9;18,9;118,17;125,90;0,00;138,56;132,01;32,7;125,90;32,7
9.8.2026;10;02:15 - 02:30;689,8;35,8;15,0;6,8;8,2;118,65;122,18;0,00;137,30;134,46;21,8;122,18;21,8
9.8.2026;11;02:30 - 02:45;478,3;34,2;18,0;4,8;13,2;108,24;120,75;0,00;133,15;132,25;22,8;120,75;22,8
9.8.2026;12;02:45 - 03:00;369,3;39,7;12,0;9,7;2,3;108,44;119,86;0,00;135,37;134,27;21,7;119,86;21,7
9.8.2026;13;03:00 - 03:15;172,7;31,5;9,2;2,0;7,2;75,72;112,96;0,00;138,10;138,10;11,2;112,96;11,2
9.8.2026;14;03:15 - 03:30;122,2;30,9;1,2;6,0;-4,8;102,96;104,63;0,00;145,32;145,32;7,2;104,63;7,2
9.8.2026;15;03:30 - 03:45;107,2;37,3;1,2;11,0;-9,8;91,59;122,57;0,00;149,89;149,89;12,2;122,57;12,2
9.8.2026;16;03:45 - 04:00;115,0;74,7;1,0;12,4;-11,4;110,73;127,41;0,00;149,89;149,89;13,4;127,41;13,4
9.8.2026;17;04:00 - 04:15;95,7;59,3;1,1;1,1;0,0;66,10;12,02;0,00;132,40;132,40;2,2;12,02;2,2
9.8.2026;18;04:15 - 04:30;85,6;34,2;1,0;1,0;0,0;0,00;0,00;0,00;0,00;0,00;2,0;0,00;2,0
9.8.2026;19;04:30 - 04:45;105,7;33,2;11,2;1,0;10,2;100,45;117,55;0,00;140,69;140,69;12,2;117,55;12,2
