Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
9.8.2026;1;00:00 - 01:00;92,7;144,7;3,3;44,5;-41,2;143,75;145,19;137,09;150,00;141,01;47,8;145,19;47,8
9.8.2026;2;01:00 - 02:00;81,9;99,6;3,7;14,4;-10,7;126,65;134,35;41,09;139,00;137,00;18,1;134,35;18,1
9.8.2026;3;02:00 - 03:00;78,7;100,4;4,2;10,9;-6,7;122,43;123,13;32,80;136,42;135,11;15,1;123,13;15,1
9.8.2026;4;03:00 - 04:00;75,8;156,4;4,3;9,2;-4,9;112,73;118,85;38,46;134,01;133,40;13,5;118,85;13,5
9.8.2026;5;04:00 - 05:00;78,3;120,2;2,5;1,0;1,5;95,27;79,23;38,86;133,26;133,26;3,5;79,23;3,5
9.8.2026;6;05:00 - 06:00;86,8;130,0;2,1;1,3;0,8;105,63;98,81;36,01;140,00;140,00;3,4;98,81;3,4
9.8.2026;7;06:00 - 07:00;73,6;121,5;3,5;2,0;1,5;113,14;100,50;27,75;145,00;145,00;5,5;100,50;5,5
9.8.2026;8;07:00 - 08:00;149,4;126,2;45,0;9,1;35,9;119,41;120,05;78,89;127,38;125,91;54,1;120,05;54,1
9.8.2026;9;08:00 - 09:00;17985,9;189,0;25,0;20,9;4,1;99,59;94,43;82,17;114,49;108,06;45,9;94,43;45,9
9.8.2026;10;09:00 - 10:00;3041,4;3339,5;45,9;11,5;34,4;33,81;36,16;7,72;49,20;32,14;57,4;36,16;57,4
9.8.2026;11;10:00 - 11:00;1202,4;247,4;96,4;42,1;54,3;0,29;-0,05;-8,97;6,97;-8,97;138,5;-0,05;138,5
9.8.2026;12;11:00 - 12:00;18994,3;223,5;89,4;54,2;35,2;-2,55;-1,71;-7,84;3,01;-4,47;143,6;-1,71;143,6
9.8.2026;13;12:00 - 13:00;4884,8;1527,1;127,7;49,4;78,3;-5,03;-3,28;-10,51;1,21;-9,30;177,1;-3,28;177,1
9.8.2026;14;13:00 - 14:00;25397,6;628,1;71,7;50,2;21,5;-6,16;-5,93;-12,85;1,04;-5,00;121,9;-5,93;121,9
9.8.2026;15;14:00 - 15:00;12761,1;403,7;120,3;81,1;39,2;-3,95;-3,01;-16,50;5,01;-1,00;201,4;-3,01;201,4
9.8.2026;16;15:00 - 16:00;20849,7;21598,1;86,5;40,5;46,0;0,46;0,38;-2,90;6,68;1,90;127,0;0,38;127,0
9.8.2026;17;16:00 - 17:00;2929,9;490,9;55,9;66,3;-10,4;39,60;39,54;0,21;60,00;60,00;122,2;39,54;122,2
9.8.2026;18;17:00 - 18:00;42342,9;20047,3;53,0;34,0;19,0;122,64;121,23;101,17;132,99;130,71;87,0;121,23;87,0
9.8.2026;19;18:00 - 19:00;2259,3;20021,7;62,9;33,1;29,8;151,72;151,65;146,69;155,00;152,10;96,0;151,65;96,0
9.8.2026;20;19:00 - 20:00;774,7;375,8;48,3;124,0;-75,7;158,00;157,26;148,15;178,95;161,67;172,3;157,26;172,3
9.8.2026;21;20:00 - 21:00;6313,4;5631,5;47,1;147,4;-100,3;172,13;171,92;161,15;199,99;199,99;194,5;171,92;194,5
9.8.2026;22;21:00 - 22:00;8296,9;350,6;73,4;134,8;-61,4;166,76;166,50;161,76;175,82;169,29;208,2;166,50;208,2
9.8.2026;23;22:00 - 23:00;20907,2;15793,9;48,1;12,0;36,1;159,09;159,65;152,58;168,61;164,15;60,1;159,65;60,1
9.8.2026;24;23:00 - 00:00;886,6;2896,3;69,4;87,2;-17,8;151,62;152,23;140,00;159,00;140,00;156,6;152,23;156,6
10.8.2026;1;00:00 - 01:00;3686,9;110,6;1,5;1,5;0,0;110,30;110,30;110,30;110,30;110,30;3,0;110,30;3,0
