Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
10.8.2026;2;01:00 - 02:00;5960,1;72,1;37,5;13,4;24,1;134,07;133,55;114,72;145,00;125,00;50,9;133,55;50,9
10.8.2026;3;02:00 - 03:00;125,1;78,4;30,2;11,8;18,4;128,17;129,17;120,04;134,41;126,02;42,0;129,17;42,0
10.8.2026;4;03:00 - 04:00;123,3;80,5;32,5;10,5;22,0;125,25;124,36;120,50;131,04;121,72;43,0;124,36;43,0
10.8.2026;5;04:00 - 05:00;127,4;109,4;35,8;20,1;15,7;129,11;127,76;124,00;133,00;133,00;55,9;127,76;55,9
10.8.2026;6;05:00 - 06:00;82,5;71,6;3,5;1,5;2,0;139,52;140,24;137,19;141,32;137,19;5,0;140,24;5,0
10.8.2026;7;06:00 - 07:00;146,6;94,3;7,6;5,1;2,5;158,42;156,25;133,88;167,60;167,60;12,7;156,25;12,7
10.8.2026;8;07:00 - 08:00;663,8;155,5;33,8;2,7;31,1;159,33;160,26;150,00;166,13;150,00;36,5;160,26;36,5
10.8.2026;9;08:00 - 09:00;16420,3;273,2;39,6;16,0;23,6;158,78;160,16;149,00;165,00;161,00;55,6;160,16;55,6
10.8.2026;10;09:00 - 10:00;6208,5;11610,7;74,6;15,5;59,1;138,81;138,68;131,50;142,25;139,38;90,1;138,68;90,1
10.8.2026;11;10:00 - 11:00;4334,0;3154,0;79,6;51,9;27,7;112,71;119,86;105,68;145,00;145,00;131,5;119,86;131,5
10.8.2026;12;11:00 - 12:00;6277,0;6139,7;89,2;53,9;35,3;89,51;89,21;79,28;104,43;92,00;143,1;89,21;143,1
10.8.2026;13;12:00 - 13:00;2487,2;6529,4;185,9;75,3;110,6;76,58;76,42;31,25;100,32;56,27;261,2;76,42;261,2
10.8.2026;14;13:00 - 14:00;31306,3;10439,9;121,2;104,1;17,1;77,82;78,15;60,00;100,75;66,80;225,3;78,15;225,3
10.8.2026;15;14:00 - 15:00;19944,0;5278,8;159,8;113,5;46,3;76,65;77,15;45,16;111,19;45,16;273,3;77,15;273,3
10.8.2026;16;15:00 - 16:00;1125,1;1259,9;81,5;58,8;22,7;97,77;97,94;81,02;130,00;130,00;140,3;97,94;140,3
10.8.2026;17;16:00 - 17:00;6334,7;776,7;104,4;90,0;14,4;131,68;130,36;117,13;143,82;140,31;194,4;130,36;194,4
10.8.2026;18;17:00 - 18:00;94896,7;686,2;94,9;43,9;51,0;181,83;187,76;166,00;236,12;236,12;138,8;187,76;138,8
10.8.2026;19;18:00 - 19:00;31897,6;24067,8;114,8;87,4;27,4;211,55;206,90;155,00;250,00;214,00;202,2;206,90;202,2
10.8.2026;20;19:00 - 20:00;174104,6;5271,5;53,9;110,9;-57,0;292,59;290,75;246,37;332,41;290,00;164,8;290,75;164,8
10.8.2026;21;20:00 - 21:00;165370,4;9639,0;71,1;90,4;-19,3;245,61;243,68;194,86;305,11;243,58;161,5;243,68;161,5
10.8.2026;22;21:00 - 22:00;41498,9;14885,4;103,2;87,0;16,2;222,03;214,77;195,01;299,99;299,99;190,2;214,77;190,2
10.8.2026;23;22:00 - 23:00;38380,7;9032,2;51,1;47,9;3,2;221,41;228,46;205,03;250,00;234,95;99,0;228,46;99,0
10.8.2026;24;23:00 - 00:00;7540,6;153,0;32,8;25,0;7,8;218,10;232,79;191,60;250,00;213,03;57,8;232,79;57,8
