Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
11.8.2026;80;19:45 - 20:00;736,8;767,5;68,3;104,4;-36,1;264,32;275,08;235,29;343,14;329,98;172,7;275,08;172,7
11.8.2026;81;20:00 - 20:15;702,5;556,7;63,1;41,2;21,9;236,32;232,48;215,66;263,90;243,90;104,3;232,48;104,3
11.8.2026;82;20:15 - 20:30;4090,7;2044,5;46,0;30,0;16,0;247,50;245,62;225,41;265,67;244,40;76,0;245,62;76,0
11.8.2026;83;20:30 - 20:45;2719,4;413,0;81,8;33,4;48,4;239,88;235,56;219,41;277,99;221,20;115,2;235,56;115,2
11.8.2026;84;20:45 - 21:00;698,5;364,0;58,8;40,8;18,0;232,86;230,05;209,26;257,39;220,19;99,6;230,05;99,6
11.8.2026;85;21:00 - 21:15;702,1;391,9;97,3;68,6;28,7;238,11;238,56;215,22;262,00;262,00;165,9;238,56;165,9
11.8.2026;86;21:15 - 21:30;412,0;410,0;76,7;66,4;10,3;221,21;220,27;204,79;254,00;254,00;143,1;220,27;143,1
11.8.2026;87;21:30 - 21:45;656,4;440,2;56,4;30,3;26,1;208,91;209,74;195,01;223,59;223,59;86,7;209,74;86,7
11.8.2026;88;21:45 - 22:00;1492,6;298,0;18,7;45,2;-26,5;199,51;199,83;182,36;213,41;201,68;63,9;199,83;63,9
11.8.2026;89;22:00 - 22:15;3284,8;465,6;56,2;48,8;7,4;218,60;220,38;193,14;263,93;254,96;105,0;220,38;105,0
11.8.2026;90;22:15 - 22:30;3269,8;655,0;27,1;62,5;-35,4;234,71;243,61;187,49;290,27;241,08;89,6;243,61;89,6
11.8.2026;91;22:30 - 22:45;460,0;1269,1;65,9;75,8;-9,9;227,84;229,78;190,24;279,99;211,04;141,7;229,78;141,7
