Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
1.8.2026;1;00:00 - 00:15;67,8;69,1;5,8;11,2;-5,4;188,09;196,70;169,28;204,43;196,24;17,0;196,70;17,0
1.8.2026;2;00:15 - 00:30;66,1;43,4;4,1;8,0;-3,9;173,29;170,54;160,94;184,85;179,42;12,1;170,54;12,1
1.8.2026;3;00:30 - 00:45;60,8;49,8;9,1;7,2;1,9;174,38;174,76;169,50;180,00;173,05;16,3;174,76;16,3
1.8.2026;4;00:45 - 01:00;45,9;89,0;2,3;25,3;-23,0;166,22;167,54;161,89;171,90;163,03;27,6;167,54;27,6
1.8.2026;5;01:00 - 01:15;67,0;47,1;4,3;2,6;1,7;171,50;169,35;161,32;176,59;176,58;6,9;169,35;6,9
1.8.2026;6;01:15 - 01:30;121,7;50,8;8,4;3,1;5,3;168,16;166,63;164,56;171,03;164,56;11,5;166,63;11,5
1.8.2026;7;01:30 - 01:45;41,3;54,9;0,3;13,0;-12,7;175,24;178,41;157,53;180,62;180,29;13,3;178,41;13,3
1.8.2026;8;01:45 - 02:00;43,7;50,6;2,2;11,0;-8,8;161,16;166,96;155,78;171,09;168,80;13,2;166,96;13,2
1.8.2026;9;02:00 - 02:15;49,9;407,2;2,2;31,7;-29,5;170,26;173,23;158,86;179,82;176,02;33,9;173,23;33,9
1.8.2026;10;02:15 - 02:30;70,6;120,5;3,7;39,6;-35,9;166,30;168,60;155,85;169,81;168,99;43,3;168,60;43,3
1.8.2026;11;02:30 - 02:45;80,0;35,9;4,9;14,0;-9,1;160,58;160,60;155,05;167,72;160,00;18,9;160,60;18,9
1.8.2026;12;02:45 - 03:00;95,9;194,7;12,3;25,2;-12,9;152,83;146,83;140,41;164,44;140,41;37,5;146,83;37,5
1.8.2026;13;03:00 - 03:15;74,2;87,4;4,7;23,9;-19,2;159,53;155,63;151,21;169,60;151,21;28,6;155,63;28,6
1.8.2026;14;03:15 - 03:30;87,7;116,1;4,3;32,2;-27,9;152,77;147,87;141,80;165,90;142,11;36,5;147,87;36,5
1.8.2026;15;03:30 - 03:45;123,5;77,3;14,9;18,3;-3,4;155,80;151,50;137,75;168,35;140,65;33,2;151,50;33,2
1.8.2026;16;03:45 - 04:00;126,5;286,4;18,6;16,2;2,4;151,97;147,76;136,81;165,99;138,00;34,8;147,76;34,8
1.8.2026;17;04:00 - 04:15;125,2;1670,1;12,0;22,8;-10,8;161,99;159,14;149,40;168,46;155,91;34,8;159,14;34,8
1.8.2026;18;04:15 - 04:30;130,3;108,5;10,1;41,2;-31,1;167,21;169,10;146,96;175,10;172,11;51,3;169,10;51,3
1.8.2026;19;04:30 - 04:45;151,4;758,2;8,2;45,2;-37,0;158,35;160,25;150,40;170,09;160,19;53,4;160,25;53,4
1.8.2026;20;04:45 - 05:00;134,5;1455,3;8,8;28,2;-19,4;157,60;151,95;146,91;180,30;146,91;37,0;151,95;37,0
1.8.2026;21;05:00 - 05:15;118,2;2349,4;7,9;17,4;-9,5;150,66;147,83;109,65;162,11;147,00;25,3;147,83;25,3
1.8.2026;22;05:15 - 05:30;74,3;1234,0;6,3;24,1;-17,8;156,93;158,48;150,53;163,16;159,48;30,4;158,48;30,4
1.8.2026;23;05:30 - 05:45;76,6;759,5;7,5;10,8;-3,3;150,14;146,88;132,66;160,45;140,69;18,3;146,88;18,3
1.8.2026;24;05:45 - 06:00;98,1;450,3;19,7;27,5;-7,8;152,95;153,38;147,80;157,60;154,91;47,2;153,38;47,2
1.8.2026;25;06:00 - 06:15;415,4;59,6;10,4;10,8;-0,4;154,39;153,74;150,72;158,52;155,26;21,2;153,74;21,2
1.8.2026;26;06:15 - 06:30;467,6;38,6;12,7;6,2;6,5;153,39;153,18;150,38;158,65;158,65;18,9;153,18;18,9
1.8.2026;27;06:30 - 06:45;530,6;68,5;8,9;4,2;4,7;147,31;147,67;144,29;151,00;146,85;13,1;147,67;13,1
1.8.2026;28;06:45 - 07:00;762,1;101,1;19,5;23,2;-3,7;146,04;146,53;140,73;151,35;151,30;42,7;146,53;42,7
1.8.2026;29;07:00 - 07:15;206,3;107,2;23,3;6,5;16,8;160,24;160,34;150,81;167,40;167,40;29,8;160,34;29,8
1.8.2026;30;07:15 - 07:30;107,2;92,1;8,7;3,8;4,9;154,23;152,27;145,97;157,41;157,10;12,5;152,27;12,5
1.8.2026;31;07:30 - 07:45;51,4;84,3;2,1;5,6;-3,5;154,26;154,04;152,05;155,03;154,84;7,7;154,04;7,7
1.8.2026;32;07:45 - 08:00;72,8;265,5;2,5;26,1;-23,6;157,26;164,43;134,07;171,41;170,99;28,6;164,43;28,6
1.8.2026;33;08:00 - 08:15;1144,9;78,9;51,8;18,4;33,4;166,74;164,21;151,68;175,61;172,45;70,2;164,21;70,2
1.8.2026;34;08:15 - 08:30;210,4;66,6;18,8;2,0;16,8;164,42;165,22;148,46;177,17;177,17;20,8;165,22;20,8
